repo_name,commit_hash,message,date,author,files_changed_count,is_bugfix,lines_added,lines_deleted,files_changed
pydriller,d763b96da09aca61322bfe95b3490d4fa03d7494,add test for modification. using fixture of pytest in repository mining tests,2018-03-29 09:46:59+00:00,ishepard,3,True,99,64,domain\modification.py;tests\test_modification.py;tests\test_repository_mining.py
pydriller,9893e66bda467488fc27694d8dc64cde34bc2873,fixing bug of memory consumption,2018-03-30 07:11:56+00:00,ishepard,3,True,16,11,repository_mining.py;scm\git_repository.py;tests\test_memory_consumption.py
pydriller,bbc5ea4097bf4c4186f6516156017520f9146380,fix requirements,2018-03-30 07:14:17+00:00,ishepard,1,True,2,1,requirements.txt
pydriller,7677ce1c682d36ad2436f488889c83c8e3cb01fe,fix bug of timezones,2018-03-30 12:06:06+00:00,ishepard,3,True,28,20,scm\git_repository.py;tests\test_git_repository.py;tests\test_memory_consumption.py
pydriller,3d584c4187685b696758c672d83d936122d56a98,fixing memory,2018-03-30 13:08:58+00:00,ishepard,1,True,3,9,tests\test_memory_consumption.py
pydriller,2efde2c75a2ff55ff401868b2f4eb6c8c993d4b3,small fix,2018-03-30 20:03:30+00:00,ishepard,6,True,3,11,tests\integration\test_between_dates.py;tests\integration\test_dates_and_timezones.py;tests\integration\test_reverse_order.py;tests\test_commit.py;tests\test_memory_consumption.py;tests\test_ranges.py
flask,3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,"Added docs, fixed some bugs I introduced last commit",2010-04-10 13:49:15+00:00,Armin Ronacher,13,True,808,10,artwork\logo-full.svg;docs\_static\flask.png;docs\_static\logo-full.png;docs\_templates\sidebarintro.html;docs\_templates\sidebarlogo.html;docs\_themes\flasky\static\flasky.css_t;docs\_themes\flasky\theme.conf;docs\becomingbig.rst;docs\conf.py;docs\flaskext.py;docs\foreword.rst;docs\index.rst;flask.py
flask,8e9bd5f009bb8756a2a7d76a4b792323eeee49d6,Fixed a typo,2010-04-10 14:01:14+00:00,Armin Ronacher,1,True,1,1,docs\index.rst
flask,1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,Fixed a doc display bug and setup.py workaround for dev version.,2010-04-11 00:42:13+00:00,Armin Ronacher,3,True,10,8,docs\_themes\flasky\static\flasky.css_t;docs\deploying.rst;setup.py
flask,574e81f9c8bbdc41958e1e7a7613633b091101f8,Fixed a bug in setup.py,2010-04-11 00:46:44+00:00,Armin Ronacher,2,True,5,2,docs\quickstart.rst;setup.py
flask,2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,Doc updates and typo fixes,2010-04-11 22:14:59+00:00,Armin Ronacher,4,True,127,11,docs\testing.rst;examples\minitwit\README;examples\minitwit\minitwit.py;examples\minitwit\templates\timeline.html
flask,51c9829a9cdfa2bf301431f686d7a404cc7c5083,Fixed couple of errors in docs.,2010-04-12 08:18:01+00:00,moraes,3,True,4,4,docs\foreword.rst;docs\index.rst;docs\installation.rst
flask,a01e8b49ca66608f0bd46134ff02deeb5724c799,Fixed a documentation error and implemented template context processors.,2010-04-12 17:52:18+00:00,Armin Ronacher,1,True,28,4,flask.py
flask,8009bd986940378bba1399dbfce90d03e441467b,Fixed the mod_wsgi docs. Thanks Graham,2010-04-14 00:17:55+00:00,Armin Ronacher,1,True,1,1,docs\deploying.rst
flask,c4f5c2fb9afc1679c085500830bd53fab93ad885,Fixed a typo,2010-04-14 15:09:34+00:00,Armin Ronacher,1,True,1,1,examples\flaskr\README
flask,40e0024d7b87150ed694829a5335bd2435962225,"Added screenshot of the debugger to Flask docs.  Flask now runs from the
shell again.",2010-04-16 00:14:54+00:00,Armin Ronacher,3,True,16,2,docs\_static\debugger.png;docs\quickstart.rst;flask.py
flask,7b5015010bc8c2a2d56c7c50b37e5b9facdad102,"Preserve the request context in debug mode.

This makes it possible to access request information in the interactive
debugger.  Closes #8.",2010-04-16 00:27:37+00:00,Armin Ronacher,1,True,11,7,flask.py
