repo_name,commit_hash,lines_added,lines_deleted,files_changed
pydriller,d763b96da09aca61322bfe95b3490d4fa03d7494,99,64,3
pydriller,9893e66bda467488fc27694d8dc64cde34bc2873,16,11,3
pydriller,bbc5ea4097bf4c4186f6516156017520f9146380,2,1,1
pydriller,7677ce1c682d36ad2436f488889c83c8e3cb01fe,28,20,3
pydriller,3d584c4187685b696758c672d83d936122d56a98,3,9,1
pydriller,2efde2c75a2ff55ff401868b2f4eb6c8c993d4b3,3,11,6
flask,3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,808,10,13
flask,8e9bd5f009bb8756a2a7d76a4b792323eeee49d6,1,1,1
flask,1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,10,8,3
flask,574e81f9c8bbdc41958e1e7a7613633b091101f8,5,2,2
flask,2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,127,11,4
flask,51c9829a9cdfa2bf301431f686d7a404cc7c5083,4,4,3
flask,a01e8b49ca66608f0bd46134ff02deeb5724c799,28,4,1
flask,8009bd986940378bba1399dbfce90d03e441467b,1,1,1
flask,c4f5c2fb9afc1679c085500830bd53fab93ad885,1,1,1
flask,40e0024d7b87150ed694829a5335bd2435962225,16,2,3
flask,7b5015010bc8c2a2d56c7c50b37e5b9facdad102,11,7,1
