repo_url,commit_hash,message,date,author,files_changed_count,files_changed,lines_added,lines_deleted,python_files_count,avg_complexity,max_complexity,high_complexity_functions_count,repo_name
F:/repos/flask,574e81f9c8bbdc41958e1e7a7613633b091101f8,Fixed a bug in setup.py,2010-04-11 00:46:44+00:00,Armin Ronacher,2,setup.py,5,2,1,,,0,flask
F:/repos/flask,5310fc38227b1907cb541f4a30ea8dfef46c2e19,"Session falls back to a dummy object now if secret_key is missing.

This makes it possible to still read-only access the empty session but
requires the secret key to be set for write access.  The error message
raised explains that.  This closes #10.",2010-04-17 12:10:47+00:00,Armin Ronacher,2,flask.py;tests\flask_tests.py,34,3,2,,,0,flask
F:/repos/flask,73a47a0db1a181bb305684115d3dacded0c5a58b,Removed unused stuff from minitwit and fixed a bug.,2010-04-18 21:42:11+00:00,Armin Ronacher,1,examples\minitwit\minitwit.py,1,3,1,2.588235294117647,9.0,1,flask
F:/repos/flask,3088a9371e065808fd0091741f62bc242bcab1f9,"Make it easier to associate a rule, endpoint and view_function
This resolves http://github.com/mitsuhiko/flask/issues/issue/11",2010-04-19 17:33:12+00:00,unknown,2,flask.py;tests\flask_tests.py,33,3,2,,,0,flask
F:/repos/flask,3c821a0fa45082bcec73dfb08662fb1de5263c48,Fix typos and remove unused import.,2010-04-20 16:40:58+00:00,florentx,6,examples\minitwit\minitwit.py;flask.py;setup.py,15,14,3,2.588235294117647,9.0,1,flask
F:/repos/flask,f014ce29a7cd5a3ccfabd61e7d66e017ed958e25,"Fix a doc oversight, and revert 5876a8fd.",2010-04-21 08:36:19+00:00,florentx,2,flask.py,3,2,1,,,0,flask
F:/repos/pydriller,9893e66bda467488fc27694d8dc64cde34bc2873,fixing bug of memory consumption,2018-03-30 07:11:56+00:00,ishepard,3,repository_mining.py;scm\git_repository.py;tests\test_memory_consumption.py,16,11,3,3.2592592592592595,18.0,4,pydriller
F:/repos/pydriller,bbc5ea4097bf4c4186f6516156017520f9146380,fix requirements,2018-03-30 07:14:17+00:00,ishepard,1,,2,1,0,,,0,pydriller
F:/repos/pydriller,7677ce1c682d36ad2436f488889c83c8e3cb01fe,fix bug of timezones,2018-03-30 12:06:06+00:00,ishepard,3,scm\git_repository.py;tests\test_git_repository.py;tests\test_memory_consumption.py,28,20,3,3.2587719298245617,10.0,9,pydriller
F:/repos/pydriller,2efde2c75a2ff55ff401868b2f4eb6c8c993d4b3,small fix,2018-03-30 20:03:30+00:00,ishepard,6,tests\integration\test_between_dates.py;tests\integration\test_dates_and_timezones.py;tests\integration\test_reverse_order.py;tests\test_commit.py;tests\test_memory_consumption.py;tests\test_ranges.py,3,11,6,2.3376068376068377,5.0,0,pydriller
